unitName,unitDesc,unitAbbr,unitAbbrMathJax,unitType,parentSI,multiplierToSI,constantToSI,measScale,referenceURL,referenceCitation,startUseDateDPS
milesPerMinute,"miles per minute",mi/min,"$$ mi{cdot}min^{-1} $$",speed,metersPerSecond,0.0372823,NULL,ratio,NULL,NULL,2012-01-01
milesPerSecond,"miles per second",mi/s,"$$ mi{cdot}s^{-1} $$",speed,metersPerSecond,0.000621371,NULL,ratio,NULL,NULL,2012-01-01
milliampere,"0.001 amperes",mA,"$$ mA $$",current,ampere,0.001,NULL,ratio,NULL,NULL,2015-05-07
millibar,"0.001 bars",mbar,"$$ mbar $$",pressure,pascal,0.01,NULL,ratio,NULL,NULL,2012-01-01
milliequivalentsPerLiter,"milliequivalents per liter",meq/L,"$$ meq{cdot}L^{-1} $$",amountOfSubstanceConcentration,molesPerCubicMeter,NULL,NULL,ratio,NULL,NULL,2015-02-13
milligram,"0.000001 kilograms",mg,"$$ mg $$",mass,kilogram,0.000001,NULL,ratio,NULL,NULL,2012-01-01
milligramsPerCubicCentimeter,"milligrams per cubic centimeter",mg/cm^3,"$$ mg{cdot}cm^{-3} $$",volumetricMass,kilogramsPerCubicMeter,1,NULL,ratio,NULL,NULL,2015-11-04
milligramsPerCubicMeter,"millgrams per cubic meter",mg/m^3,"$$ mg{cdot}m^{-3} $$",volumetricMass,kilogramsPerCubicMeter,0.000001,NULL,ratio,NULL,NULL,2012-01-01
milligramsPerGram,"milligrams per gram",mg/g,"$$ mg{cdot}g{-1} $$",massPerMass,kilogramsPerKilogram,0.001,NULL,ratio,NULL,NULL,NULL
milligramsPerKilogram,"milligrams per kilogram",mg/kg,"$$ mg{cdot}kg^{-1} $$",massPerMass,kilogramsPerKilogram,0.000001,NULL,ratio,NULL,NULL,2015-02-18
milligramsPerLiter,"milligrams per liter",mg/L,"$$ mg{cdot}L^{-1} $$",volumetricMass,kilogramsPerCubicMeter,0.001,NULL,ratio,NULL,NULL,2012-01-01
milligramsPerMilliliter,"milligrams per milliliter",mg/mL,"$$ mg{cdot}mL^{-1} $$",volumetricMass,kilogramsPerCubicMeter,1,NULL,ratio,NULL,NULL,2012-01-01
milligramsPerSquareCentimeter,"milligrams per square centimeter",mg/cm^2,"$$ mg{cdot}cm^{-2} $$",arealMassDensity,kilogramsPerSquareMeter,NULL,NULL,ratio,NULL,NULL,NULL
milligramsPerSquareMeter,"milligrams per square meter",mg/m^2,"$$ mg{cdot}m^{-2} $$",arealMassDensity,kilogramsPerSquareMeter,0.000001,NULL,ratio,NULL,NULL,2012-01-01
millihertz,"0.001 hertz",mHz,"$$ mHz $$",frequency,hertz,0.001,NULL,ratio,NULL,NULL,2012-01-01
milliliter,"0.001 liters",mL,"$$ mL $$",volume,cubicMeter,0.000001,NULL,ratio,NULL,NULL,2012-01-01
millilitersPerMinute,"milliliters per minute",mL/min,"$$ mL{cdot}min^{-1} $$",volumetricRate,cubicMetersPerSecond,0.0000000166667,NULL,ratio,NULL,NULL,2015-05-07
millimeter,"0.001 meters",mm,"$$ mm $$",length,meter,0.001,NULL,ratio,NULL,NULL,2012-01-01
millimetersOfMercury,"millimeters of mercury",mmHg,mmHg,pressure,pascal,133.322,NULL,ratio,NULL,NULL,2015-10-15
